raw,corrected,correction_type,evidence
Laminaceae,Lamiaceae,typo,"Misspelling; Lamiaceae appears 139x in same dataset"
Cypressaceae,Cupressaceae,typo,"Misspelling; Cupressaceae appears 63x in same dataset"
Anacardaceae,Anacardiaceae,typo,"Misspelling; Anacardiaceae appears 29x in same dataset"
Apieaceae,Apiaceae,typo,"Misspelling; Apiaceae appears 67x in same dataset"
Borraginaceae,Boraginaceae,typo,"Misspelling; Boraginaceae appears 20x in same dataset"
Elagnaceae,Elaeagnaceae,typo,"Misspelling; Elaeagnaceae appears 8x in same dataset"
Valeriabaceae,Valerianaceae,typo,"Misspelling (b/n transposition); Valerianaceae appears 13x in same dataset"
Zygopuhyllaceae,Zygophyllaceae,typo,"Misspelling; Zygophyllaceae appears 15x in same dataset"
Cannabidaceae,Cannabaceae,typo,"Misspelling; Cannabaceae appears 8x in same dataset"
Anonaceae,Annonaceae,typo,"Obsolete orthographic variant; Annonaceae is the conserved spelling (3x in same dataset)"
Callophyllaceae,Calophyllaceae,typo,"Misspelling; correct family is Calophyllaceae (genus Calophyllum)"
Maranthaceae,Marantaceae,typo,"Misspelling; correct family is Marantaceae (genus Maranta)"
Furaceae,Fucaceae,typo,"Misspelling of brown-algae family; Fucaceae appears 9x in same dataset"
Simarubaceae,Simaroubaceae,typo,"Misspelling; Simaroubaceae appears 1x in same dataset"
Palmaceae,Arecaceae,typo,"Not a validly published family name; the palm family is Arecaceae (12x) / conserved alt. Palmae (3x)"
